BIN,NAME,CNSTRCT_YR,the_geom,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE
3394646,,2009.0,"MULTIPOLYGON (((-73.87129515296562 40.65717370043455, -73.87135858020156 40.65714663518705, -73.87143322008981 40.6572480836196, -73.87136979278591 40.6572751498085, -73.87129515296562 40.65717370043455)))",08/22/2017 12:00:00 AM +0000,Constructed,1212853,21.60850812,2100.0,18.0,854.66243317866,125.07979555840001,3044520815,3044520815.0,Photogramm
4548330,,1930.0,"MULTIPOLYGON (((-73.87670970144625 40.714252345416234, -73.87677485139673 40.7142504934792, -73.87677647324277 40.71428351606412, -73.87671132326172 40.71428536710151, -73.87670970144625 40.714252345416234)))",08/17/2017 12:00:00 AM +0000,Constructed,1226227,10.36,5110.0,122.0,217.59424346168998,60.22585821856,4030640041,4030640041.0,Photogramm
4460479,,1960.0,"MULTIPOLYGON (((-73.85195485799383 40.6623547177829, -73.85195293929989 40.6623469942763, -73.85194002766964 40.662295026801765, -73.85205312383611 40.66227873246691, -73.85205739961346 40.662295939652005, -73.85207298370298 40.662358660928135, -73.85195988622131 40.66237495618138, -73.85195485799383 40.6623547177829)))",08/22/2017 12:00:00 AM +0000,Constructed,581946,29.81157033,2100.0,10.0,946.42747637737,123.14194057236999,4139430001,4139430001.0,Photogramm
3355684,,1920.0,"MULTIPOLYGON (((-73.94029215265738 40.641082879796215, -73.94034019028493 40.6410801743559, -73.94034513116404 40.64113109494369, -73.94029709231862 40.64113379948495, -73.94029215265738 40.641082879796215)))",08/17/2017 12:00:00 AM +0000,Constructed,858061,11.2,5110.0,32.0,248.67816852808997,63.94081721089001,3049720006,3049720006.0,Photogramm
3131737,,1915.0,"MULTIPOLYGON (((-73.98998983552244 40.62383804513802, -73.98998321730788 40.62384433019182, -73.98986410105378 40.623957449389216, -73.98985088662573 40.62394937145874, -73.98983900358293 40.6239606548263, -73.98983493381974 40.623964521299776, -73.98982499877408 40.62395844731343, -73.98981489710228 40.623952271552746, -73.9898308499099 40.62393712171446, -73.98980593372316 40.62392188991205, -73.98991446606462 40.62381882055136, -73.98991601925964 40.62381734653619, -73.98992896792899 40.623816402125115, -73.98994621331511 40.62382694512284, -73.9899561861474 40.62381747432411, -73.98998983552244 40.62383804513802)))",08/22/2017 12:00:00 AM +0000,Constructed,568078,24.98,2100.0,44.0,1163.2276686980001,165.60876340496,3055100055,3055100055.0,Photogramm
4299828,,1950.0,"MULTIPOLYGON (((-73.7654951204543 40.61127191494308, -73.76555935014785 40.61120899034049, -73.76569840184897 40.61129142511688, -73.76563417221033 40.611354348896114, -73.7654951204543 40.61127191494308)))",08/22/2017 12:00:00 AM +0000,Constructed,41210,30.16083226,2100.0,6.0,1420.6670412644,155.91598115946002,4156840062,4156840062.0,Photogramm
4609623,,1965.0,"MULTIPOLYGON (((-73.85236537192253 40.75122838838448, -73.85242143965431 40.75121001784771, -73.85245238427744 40.75126463722468, -73.8523963153241 40.75128300777483, -73.85236537192253 40.75122838838448)))",08/17/2017 12:00:00 AM +0000,Constructed,1220055,10.77,5110.0,38.0,366.51775816092993,77.16631051216999,4020140047,4020140047.0,Photogramm
4554786,,1935.0,"MULTIPOLYGON (((-73.71512875395307 40.73330867209497, -73.71519336555875 40.733294778510064, -73.71520460562955 40.73332502661956, -73.71513999400074 40.73333891931018, -73.71512875395307 40.73330867209497)))",08/17/2017 12:00:00 AM +0000,Constructed,1228515,12.15,5110.0,96.0,213.10161103029998,60.120504275109994,4086190031,4086190031.0,Photogramm
3388445,,2004.0,"MULTIPOLYGON (((-73.94606707932263 40.66016319910706, -73.94608321242157 40.6603137577426, -73.94601549713408 40.660317965615015, -73.94599936300443 40.6601674069695, -73.94606707932263 40.66016319910706)))",08/22/2017 12:00:00 AM +0000,Constructed,1014893,32.77,2100.0,40.0,1037.4073146655999,147.76998935552,3048020021,3048020021.0,Other (Man
3110799,,1910.0,"MULTIPOLYGON (((-73.94669293900293 40.64493688847258, -73.94688920631023 40.64492500148902, -73.94689129125904 40.64494496784088, -73.94689491722652 40.644947894398385, -73.94689792694393 40.64495120159049, -73.9469002507178 40.64495481554248, -73.94690183777692 40.644958654283776, -73.94690265154124 40.64496263044735, -73.94690267316575 40.644966654873166, -73.94690190272333 40.64497063570837, -73.94690035683622 40.644974483809335, -73.94689807104102 40.64497811184225, -73.94689509742142 40.64498143788385, -73.94673875972408 40.644990906574996, -73.94669882994923 40.644993324877426, -73.94669633207526 40.644969393349164, -73.94669293900293 40.64493688847258)))",08/22/2017 12:00:00 AM +0000,Constructed,757675,27.37,2100.0,39.0,1150.81648492146,151.86069403122,3049320062,3049320062.0,Photogramm
